Ngay;Ttb;GHI;A;;;;
2021-03-31;36;4,462;258820;;;;
2021-04-01;36;4,787;229103;;;;
2021-04-02;28;0,760;39454;;;;
2021-04-03;31;4,743;256952;;;;
2021-04-04;30;4,754;269419;;;;
2021-04-05;31;5,570;261530;;;;
2021-04-06;31;6,918;318752;;;;
2021-04-07;31;5,662;293832;;;;
2021-04-08;31;5,393;312786;;;;
2021-04-09;31;5,981;338945;;;;
2021-04-10;31;5,949;284730;;;;
2021-04-11;31;6,685;313888;;;;
2021-04-12;32;6,365;330304;;;;
2021-04-13;31;6,829;326847;;;;
2021-04-14;31;5,711;263143;;;;
2021-04-15;32;5,422;243268;;;;
2021-04-16;32;4,502;215500;;;;
2021-04-17;31;5,148;241723;;;;
2021-04-18;32;7,280;335419;;;;
2021-04-19;33;5,124;265932;;;;
2021-04-20;35;4,178;242314;;;;
2021-04-21;34;4,771;228372;;;;
2021-04-22;33;3,378;195913;;;;
2021-04-23;33;3,862;218861;;;;
2021-04-24;35;5,961;285325;;;;
2021-04-25;35;6,257;288268;;;;
2021-04-26;34;4,617;261631;;;;
2021-04-27;30;3,747;172640;;;;
2021-04-28;32;6,405;332383;;;;
2021-04-29;32;3,775;218976;;;;
2021-04-30;30;4,196;197020;;;;
2021-05-01;33;5,677;271721;;;;
2021-05-02;33;6,023;312581;;;;
2021-05-03;35;5,678;307598;;;;
2021-05-04;35;5,381;304923;;;;
2021-05-05;34;7,285;342043;;;;
2021-05-06;33;5,998;276346;;;;
2021-05-07;33;6,065;314764;;;;
2021-05-08;34;5,914;343017;;;;
2021-05-09;35;5,286;299548;;;;
2021-05-10;36;4,184;200261;;;;
2021-05-11;37;4,761;223545;;;;
2021-05-12;36;4,040;209635;;;;
2021-05-13;36;6,008;287572;;;;
2021-05-14;36;5,690;262148;;;;
2021-05-15;36;5,901;264752;;;;
2021-05-16;36;6,597;315741;;;;
2021-05-17;36;6,632;311385;;;;
2021-05-18;35;6,664;307030;;;;
2021-05-19;36;6,104;316755;;;;
2021-05-20;35;4,812;279084;;;;
2021-05-21;37;6,293;301187;;;;
2021-05-22;37;5,302;307517;;;;
2021-05-23;36;5,870;332608;;;;
2021-05-24;33;6,216;297513;;;;
2021-05-25;33;7,880;363046;;;;
2021-05-26;34;6,734;381610;;;;
2021-05-27;33;7,162;330009;;;;
2021-05-28;34;6,549;339841;;;;
2021-05-29;36;6,588;382112;;;;
2021-05-30;36;8,441;396310;;;;
2021-05-31;39;6,896;399977;;;;
2021-06-01;40;7,018;335907;;;;
2021-06-02;39;6,385;331325;;;;
2021-06-03;39;5,926;321022;;;;
2021-06-04;40;4,915;278490;;;;
2021-06-05;33;2,319;108880;;;;
2021-06-06;35;6,521;300460;;;;
2021-06-07;37;5,619;291591;;;;
2021-06-08;33;4,004;232230;;;;
2021-06-09;34;3,259;184650;;;;
2021-06-10;34;4,155;198895;;;;
2021-06-11;34;4,062;190704;;;;
2021-06-12;28;0,293;15230;;;;
2021-06-13;34;4,142;198268;;;;
2021-06-14;36;3,870;178327;;;;
2021-06-15;36;4,461;200144;;;;
2021-06-16;37;4,454;213174;;;;
2021-06-17;37;6,000;281715;;;;
2021-06-18;36;6,268;288801;;;;
2021-06-19;39;5,611;291193;;;;
2021-06-20;40;4,577;265466;;;;
2021-06-21;40;5,995;286949;;;;
2021-06-22;39;4,274;247906;;;;
2021-06-23;39;3,664;207631;;;;
2021-06-24;38;4,595;219919;;;;
2021-06-25;37;5,312;244744;;;;
2021-06-26;37;3,731;211433;;;;
2021-06-27;39;5,990;275998;;;;
2021-06-28;39;5,363;278322;;;;
2021-06-29;40;4,838;280627;;;;
2021-06-30;39;5,335;250504;;;;
2021-07-01;38;5,613;268660;;;;
2021-07-02;38;5,318;275998;;;;
2021-07-03;38;4,879;264324;;;;
2021-07-04;38;4,794;271649;;;;
2021-07-05;37;5,001;234804;;;;
2021-07-06;30;1,595;73509;;;;
2021-07-07;29;1,162;60298;;;;
2021-07-08;34;3,643;211308;;;;
2021-07-09;34;4,744;268842;;;;
2021-07-10;34;5,415;259192;;;;
2021-07-11;34;4,805;225616;;;;
2021-07-12;34;6,389;331552;;;;
2021-07-13;34;5,981;286288;;;;
2021-07-14;33;6,374;293665;;;;
2021-07-15;34;5,975;268049;;;;
2021-07-16;33;3,699;177038;;;;
2021-07-17;35;5,560;261056;;;;
2021-07-18;36;5,538;255140;;;;
2021-07-19;36;5,140;266741;;;;
2021-07-20;37;4,429;256909;;;;
2021-07-21;37;3,650;174692;;;;
2021-07-22;35;2,491;144462;;;;
2021-07-23;33;1,673;94780;;;;
2021-07-24;35;3,161;151277;;;;
2021-07-25;35;3,137;144539;;;;
2021-07-26;38;3,856;218497;;;;
2021-07-27;39;5,653;260479;;;;
2021-07-28;38;4,816;249918;;;;
2021-07-29;40;3,906;226530;;;;
2021-07-30;38;3,429;161011;;;;
2021-07-31;38;4,293;249016;;;;
2021-08-01;38;4,433;212198;;;;
2021-08-02;36;3,038;157652;;;;
2021-08-03;39;3,160;171217;;;;
2021-08-04;38;3,368;190850;;;;
2021-08-05;39;3,784;177666;;;;
2021-08-06;39;5,466;251839;;;;
2021-08-07;40;4,541;235633;;;;
2021-08-08;40;1,864;108133;;;;
2021-08-09;39;3,958;224309;;;;
2021-08-10;39;4,598;220073;;;;
2021-08-11;39;3,830;179812;;;;
2021-08-12;39;4,087;212117;;;;
2021-08-13;39;4,470;213944;;;;
2021-08-14;37;4,808;221507;;;;
2021-08-15;37;4,574;205192;;;;
2021-08-16;36;4,842;231744;;;;
2021-08-17;36;5,133;240985;;;;
2021-08-18;37;4,935;227375;;;;
2021-08-19;37;4,395;228057;;;;
2021-08-20;36;4,852;281418;;;;
2021-08-21;36;5,195;248666;;;;
2021-08-22;36;3,547;205706;;;;
2021-08-23;38;4,225;239410;;;;
2021-08-24;36;5,134;245716;;;;
2021-08-25;35;5,385;248090;;;;
2021-08-26;35;4,235;239972;;;;
2021-08-27;34;4,906;226032;;;;
2021-08-28;34;4,647;241176;;;;
2021-08-29;32;3,034;175953;;;;
2021-08-30;31;3,505;164554;;;;
2021-08-31;30;1,855;107610;;;;
2021-09-01;33;4,854;232351;;;;
2021-09-02;33;3,606;187111;;;;
2021-09-03;34;2,509;135928;;;;
2021-09-04;33;2,970;168275;;;;
2021-09-05;34;4,801;225420;;;;
2021-09-06;33;4,389;202216;;;;
2021-09-07;29;1,899;98536;;;;
2021-09-08;34;3,833;222327;;;;
2021-09-09;33;3,018;171023;;;;
2021-09-10;30;1,685;80642;;;;
2021-09-11;28;0,590;27696;;;;
2021-09-12;27;0,604;31320;;;;
2021-09-13;28;2,153;103047;;;;
2021-09-14;33;5,306;244472;;;;
2021-09-15;33;5,741;257562;;;;
2021-09-16;34;5,057;242061;;;;
2021-09-17;33;5,220;245105;;;;
2021-09-18;33;3,911;180213;;;;
2021-09-19;33;2,764;143456;;;;
2021-09-20;31;3,354;194555;;;;
2021-09-21;32;3,009;144022;;;;
2021-09-22;31;2,531;146778;;;;
2021-09-23;28;0,722;40925;;;;
2021-09-24;32;4,673;223666;;;;
2021-09-25;32;4,127;190160;;;;
2021-09-26;32;3,040;172260;;;;
2021-09-27;32;6,122;282075;;;;
2021-09-28;33;4,192;217544;;;;
2021-09-29;33;3,948;229006;;;;
2021-09-30;34;5,816;273092;;;;
2021-10-01;332;5,634;269673;;;;
2021-10-02;32;5,318;275957;;;;
2021-10-03;32;4,800;260029;;;;
2021-10-04;33;3,217;182274;;;;
2021-10-05;31;2,971;139479;;;;
2021-10-06;29;0,789;36351;;;;
